Sierrah,Female~1946~1996
Ameera,Female~3120~2000
Jadene,Female~4661~1952
Ashkon,Male~5543~1991
Gemise,Female~12622~1997
Griffon,Male~5689~1996
Dafney,Female~6049~1972
Talyiah,Female~17330~2000
Shaughn,Male~2766~1986
Akwete,Female~8458~1977
Aoife,Female~3457~1997
Jazell,Female~9589~1984
Biddie,Female~5740~1953
Celesse,Female~14825~1999
Latoiya,Female~3807~1984
Ashtian,Male~9170~2000
Hether,Female~2857~1973
Ramello,Male~5415~1995
Jibri,Male~2109~1992
Dyasia,Female~7920~1997
Akerah,Female~14456~1999
Stajah,Female~15098~2001
Telicia,Female~3497~1978
Ramelle,Female~5907~1957
Ramelle,Male~7035~1981
Creedence,Male~7962~1994
Sunjay,Male~4663~1993
Promise,Female~1802~2001
Promise,Male~9453~1992
Demerick,Male~5067~1976
Lovonda,Female~9179~1973
Jadeon,Male~11068~2000
Jordanchristoph,Male~9726~1996
Amirah,Female~1426~2000
Chancellor,Male~1087~2001
Zanib,Female~10730~2000
Atheer,Female~14378~1998
Fruma,Female~7619~1981
Jadell,Male~8969~1992
Vonzella,Female~3678~1953
Sriharsha,Male~10369~2001
Marisleysis,Female~3782~2000
Rodert,Male~3009~1963
Elsbeth,Female~2985~1951
Chiriga,Female~9007~1974
Cahill,Male~9417~2001
Milford,Male~790~1952
Stevon,Male~2457~1967
Lacynthia,Female~7121~1963
Francesca,Female~353~1996
Francesca,Male~5147~1984
Shahada,Female~10380~1993
Alixis,Female~9042~1983
Merilynn,Female~4402~1958
Celeste,Female~239~1997
Celeste,Male~3289~1957
Adarryl,Male~3243~1975
Celesta,Female~1866~1952
Deneene,Female~2547~1964
Shaakira,Female~4619~1991
Tekila,Female~7347~1981
Marlyssa,Female~14876~1995
Zania,Female~3782~2001
Wyteria,Female~15406~1991
Deneena,Female~5603~1964
Xanthia,Female~9082~1981
Dejana,Female~5949~1997
Dejane,Female~5743~1995
Tenzing,Male~6249~1998
Ingrida,Female~6454~1958
Ieisha,Female~1372~1991
Nayelie,Female~2799~2001
Nayelis,Female~3237~2001
Nayelin,Female~14801~2001
Ameerah,Female~3216~1980
Nayeliz,Female~10754~2001
Lovonia,Female~7678~1968
Matson,Male~4195~1955
Xavius,Male~4086~1994
Trenetta,Female~9572~1972
Ardena,Female~3381~1952
Icesis,Female~8971~2001
Trenette,Female~10510~1975
Clayvon,Male~4755~1993
Ardene,Female~3966~1953
Wilkinson,Male~12233~2001
Yatta,Female~10881~1976
Kurissa,Female~11102~1992
Antrina,Female~6854~1967
Enola,Female~953~1953
Kirisa,Female~14403~1992
Gemini,Female~3609~1965
Gemini,Male~5360~1973
Giovante,Male~6025~1994
Darlette,Female~4261~1965
Shahrukh,Male~4257~1994
Tajanique,Female~8274~1997
Jelene,Female~5702~1958
Juliamarie,Female~14432~1995
Darletta,Female~4539~1956
Janarius,Male~9418~1994
Litzzy,Female~8916~2000
Abbye,Female~5377~1957
